Processed 5mlq, DockQ: 0.133
Processed 6awl, DockQ: 0.156
Processed 6b4e, DockQ: 0.214
Processed 6b9o, DockQ: 0.141
Processed 6bk4, DockQ: 0.149
Processed 6bn0, DockQ: 0.367
Processed 6bqc, DockQ: 0.15
Processed 6bs3, DockQ: 0.069
Processed 6bsu, DockQ: 0.138
Processed 6bw9, DockQ: 0.23
Processed 6bxz, DockQ: 0.193
Processed 6c0g, DockQ: 0.191
Processed 6c30, DockQ: 0.121
Processed 6c3r, DockQ: 0.16
Processed 6c5d, DockQ: 0.131
Processed 6c5w, DockQ: 0.193
Processed 6c6n, DockQ: 0.178
Processed 6c90, DockQ: 0.191
Processed 6c9m, DockQ: 0.082
Processed 6cbc, DockQ: 0.191
Processed 6cfy, DockQ: 0.14
Processed 6cgo, DockQ: 0.14
Processed 6ch3, DockQ: 0.114
Processed 6chj, DockQ: 0.078
Processed 6cmk, DockQ: 0.127
Processed 6cmv, DockQ: 0.177
Processed 6cp8, DockQ: 0.221
Processed 6cp9, DockQ: 0.074
Processed 6cpd, DockQ: 0.234
Processed 6cqo, DockQ: 0.15
Processed 6cv7, DockQ: 0.096
Processed 6d0h, DockQ: 0.101
Processed 6d1p, DockQ: 0.189
Processed 6d2w, DockQ: 0.145
Processed 6d3v, DockQ: 0.105
Processed 6d6y, DockQ: 0.14
Processed 6db1, DockQ: 0.11
Processed 6dfd, DockQ: 0.159
Processed 6dfl, DockQ: 0.053
Processed 6dhv, DockQ: 0.148
Processed 6dj3, DockQ: 0.186
Processed 6djl, DockQ: 0.117
Processed 6dk7, DockQ: 0.197
Processed 6dk9, DockQ: 0.133
Processed 6dkk, DockQ: 0.223
Processed 6dlo, DockQ: 0.212
Processed 6dm3, DockQ: 0.195
Processed 6dm9, DockQ: 0.148
Processed 6dqx, DockQ: 0.227
Processed 6dre, DockQ: 0.11
Failed to retrieve DockQ score for 6dt7
Skipping 6dt7 due to errors.
Processed 6dvu, DockQ: 0.19
Processed 6dx5, DockQ: 0.218
Processed 6dxo, DockQ: 0.049
Processed 6dxr, DockQ: 0.212
Processed 6dz6, DockQ: 0.191
Processed 6e12, DockQ: 0.197
Processed 6e2q, DockQ: 0.17
Processed 6e4h, DockQ: 0.098
Processed 6e52, DockQ: 0.13
Processed 6e8a, DockQ: 0.174
Processed 6ea8, DockQ: 0.282
Processed 6eby, DockQ: 0.208
Processed 6ecm, DockQ: 0.183
Processed 6ecw, DockQ: 0.086
Processed 6efn, DockQ: 0.161
Processed 6efw, DockQ: 0.135
Processed 6efy, DockQ: 0.204
Processed 6eg7, DockQ: 0.16
Processed 6eko, DockQ: 0.137
Processed 6ekr, DockQ: 0.131
Processed 6epg, DockQ: 0.201
Processed 6epk, DockQ: 0.088
Processed 6eys, DockQ: 0.17
Processed 6eyx, DockQ: 0.173
Processed 6f03, DockQ: 0.042
Processed 6f1e, DockQ: 0.147
Processed 6f5c, DockQ: 0.177
Processed 6f7j, DockQ: 0.123
Processed 6f7l, DockQ: 0.103
Processed 6fan, DockQ: 0.224
Processed 6fc0, DockQ: 0.139
Processed 6fco, DockQ: 0.204
Processed 6fcx, DockQ: 0.184
Processed 6fde, DockQ: 0.217
Processed 6fdm, DockQ: 0.103
Processed 6ff6, DockQ: 0.166
Processed 6fg9, DockQ: 0.165
Processed 6fh1, DockQ: 0.124
Processed 6fh4, DockQ: 0.269
Processed 6fhg, DockQ: 0.041
Processed 6fju, DockQ: 0.155
Processed 6fjw, DockQ: 0.189
Processed 6fln, DockQ: 0.194
Processed 6fnn, DockQ: 0.098
Processed 6fp5, DockQ: 0.122
Processed 6fpd, DockQ: 0.132
Processed 6fpf, DockQ: 0.166
Processed 6fqb, DockQ: 0.183
Processed 6fqr, DockQ: 0.27
Processed 6ft5, DockQ: 0.169
Processed 6fxa, DockQ: 0.195
Processed 6fxr, DockQ: 0.143
Processed 6g1c, DockQ: 0.253
Processed 6g2g, DockQ: 0.047
Processed 6g3b, DockQ: 0.115
Processed 6g4j, DockQ: 0.114
Processed 6g6s, DockQ: 0.226
Processed 6g70, DockQ: 0.074
Processed 6g7b, DockQ: 0.113
Processed 6g8w, DockQ: 0.181
Processed 6gcv, DockQ: 0.193
Processed 6gdj, DockQ: 0.223
Processed 6gf6, DockQ: 0.164
Processed 6gf8, DockQ: 0.13
Processed 6ggo, DockQ: 0.131
Processed 6ggr, DockQ: 0.183
Processed 6gh8, DockQ: 0.049
Processed 6ghc, DockQ: 0.104
Processed 6gho, DockQ: 0.118
Processed 6ghs, DockQ: 0.079
Processed 6grs, DockQ: 0.159
Processed 6gs2, DockQ: 0.088
Processed 6gto, DockQ: 0.209
Processed 6gtq, DockQ: 0.246
Processed 6gup, DockQ: 0.207
Processed 6gxz, DockQ: 0.099
Processed 6gyg, DockQ: 0.197
Processed 6gz0, DockQ: 0.106
Processed 6gza, DockQ: 0.16
Processed 6gzj, DockQ: 0.084
Processed 6h02, DockQ: 0.12
Processed 6h24, DockQ: 0.143
Processed 6h2u, DockQ: 0.153
Processed 6h40, DockQ: 0.234
Processed 6h4b, DockQ: 0.098
Processed 6h56, DockQ: 0.21
Processed 6h59, DockQ: 0.252
Processed 6h6o, DockQ: 0.182
Processed 6h7a, DockQ: 0.054
Processed 6h8f, DockQ: 0.159
Processed 6h9n, DockQ: 0.096
Processed 6hat, DockQ: 0.162
Processed 6hbz, DockQ: 0.168
Processed 6hcz, DockQ: 0.255
Processed 6hee, DockQ: 0.138
Processed 6hej, DockQ: 0.158
Processed 6hfg, DockQ: 0.182
Processed 6hgc, DockQ: 0.199
Processed 6hhb, DockQ: 0.168
Processed 6hhk, DockQ: 0.067
Processed 6hiu, DockQ: 0.121
Processed 6hlk, DockQ: 0.17
Processed 6hlu, DockQ: 0.179
Processed 6hq2, DockQ: 0.297
Processed 6hqz, DockQ: 0.335
Processed 6hsd, DockQ: 0.118
Processed 6htj, DockQ: 0.284
Processed 6hul, DockQ: 0.178
Processed 6hv8, DockQ: 0.168
Processed 6hwl, DockQ: 0.104
Processed 6hxa, DockQ: 0.096
Processed 6hxt, DockQ: 0.143
Processed 6hxv, DockQ: 0.151
Processed 6hzk, DockQ: 0.123
Processed 6i1a, DockQ: 0.136
Processed 6i1d, DockQ: 0.202
Processed 6i1r, DockQ: 0.065
Processed 6i5b, DockQ: 0.179
Processed 6i6j, DockQ: 0.215
Processed 6i6u, DockQ: 0.155
Processed 6i7s, DockQ: 0.193
Processed 6iak, DockQ: 0.288
Processed 6ian, DockQ: 0.121
Processed 6ibb, DockQ: 0.116
Processed 6if6, DockQ: 0.196
Processed 6ifb, DockQ: 0.177
Processed 6ifo, DockQ: 0.076
Processed 6ig4, DockQ: 0.224
Processed 6ign, DockQ: 0.156
Processed 6igv, DockQ: 0.159
Processed 6igx, DockQ: 0.154
Processed 6ihj, DockQ: 0.163
Failed to retrieve DockQ score for 6ij2
Skipping 6ij2 due to errors.
Processed 6ije, DockQ: 0.109
Processed 6imf, DockQ: 0.107
Processed 6imj, DockQ: 0.16
Processed 6in7, DockQ: 0.131
Processed 6ipw, DockQ: 0.19
Processed 6iqe, DockQ: 0.168
Processed 6iqt, DockQ: 0.112
Processed 6ire, DockQ: 0.154
Processed 6isc, DockQ: 0.16
Processed 6isk, DockQ: 0.173
Processed 6iu5, DockQ: 0.241
Processed 6iuf, DockQ: 0.21
Processed 6ivu, DockQ: 0.238
Processed 6iwj, DockQ: 0.239
Processed 6ixq, DockQ: 0.141
Processed 6iya, DockQ: 0.196
Processed 6iz2, DockQ: 0.208
Processed 6izv, DockQ: 0.109
Processed 6j07, DockQ: 0.197
Processed 6j08, DockQ: 0.171
Processed 6j0y, DockQ: 0.117
Processed 6j38, DockQ: 0.167
Processed 6j3a, DockQ: 0.132
Processed 6j4d, DockQ: 0.181
Processed 6j4p, DockQ: 0.091
Processed 6j52, DockQ: 0.118
Processed 6j5w, DockQ: 0.212
Processed 6j6a, DockQ: 0.103
Processed 6j6f, DockQ: 0.24
Processed 6j8l, DockQ: 0.13
Processed 6j9k, DockQ: 0.097
Processed 6j9r, DockQ: 0.209
Processed 6jbd, DockQ: 0.164
Processed 6jc4, DockQ: 0.095
Processed 6jd6, DockQ: 0.237
Processed 6jfv, DockQ: 0.172
Processed 6jg8, DockQ: 0.233
Processed 6jhu, DockQ: 0.125
Processed 6jhv, DockQ: 0.224
Processed 6jhw, DockQ: 0.177
Processed 6jie, DockQ: 0.281
Processed 6jiw, DockQ: 0.203
Processed 6jjw, DockQ: 0.154
Processed 6jkg, DockQ: 0.212
Processed 6jl9, DockQ: 0.156
Processed 6jle, DockQ: 0.042
Processed 6jpl, DockQ: 0.131
Processed 6jq1, DockQ: 0.184
Processed 6jqy, DockQ: 0.225
Processed 6jsd, DockQ: 0.099
Processed 6jsx, DockQ: 0.236
Processed 6jt1, DockQ: 0.078
Processed 6jtz, DockQ: 0.115
Processed 6ju8, DockQ: 0.203
Processed 6juf, DockQ: 0.126
Processed 6juv, DockQ: 0.096
Processed 6jvv, DockQ: 0.228
Processed 6jyk, DockQ: 0.237
Processed 6jza, DockQ: 0.122
Processed 6jzy, DockQ: 0.056
Processed 6k0w, DockQ: 0.146
Processed 6k17, DockQ: 0.158
Processed 6k31, DockQ: 0.184
Processed 6k38, DockQ: 0.16
Processed 6k4e, DockQ: 0.079
Processed 6k5g, DockQ: 0.233
Processed 6k5s, DockQ: 0.117
Processed 6k5x, DockQ: 0.137
Processed 6k62, DockQ: 0.162
Processed 6k6l, DockQ: 0.198
Processed 6k88, DockQ: 0.181
Processed 6k8k, DockQ: 0.167
Processed 6k95, DockQ: 0.129
Processed 6ka3, DockQ: 0.182
Processed 6kd6, DockQ: 0.112
Processed 6ket, DockQ: 0.17
Processed 6kew, DockQ: 0.043
Processed 6kgc, DockQ: 0.222
Failed to retrieve DockQ score for 6khy
Skipping 6khy due to errors.
Processed 6ki2, DockQ: 0.191
Processed 6kju, DockQ: 0.136
Processed 6kkn, DockQ: 0.209
Processed 6kkt, DockQ: 0.259
Processed 6kri, DockQ: 0.157
Processed 6ksy, DockQ: 0.176
Processed 6kun, DockQ: 0.211
Processed 6kvr, DockQ: 0.057
Processed 6l0t, DockQ: 0.202
Processed 6l2u, DockQ: 0.152
Processed 6l2w, DockQ: 0.23
Processed 6l3q, DockQ: 0.124
Processed 6l4b, DockQ: 0.153
Processed 6l4p, DockQ: 0.17
Processed 6l5h, DockQ: 0.077
Processed 6l5j, DockQ: 0.077
Processed 6l6g, DockQ: 0.137
Processed 6l6w, DockQ: 0.082
Processed 6l7r, DockQ: 0.077
Processed 6l85, DockQ: 0.283
Processed 6l8g, DockQ: 0.091
Processed 6l8v, DockQ: 0.19
Processed 6l9u, DockQ: 0.26
Processed 6lac, DockQ: 0.159
Processed 6laf, DockQ: 0.149
Processed 6lb7, DockQ: 0.172
Processed 6lbu, DockQ: 0.07
Processed 6le1, DockQ: 0.129
Processed 6leb, DockQ: 0.101
Processed 6lf2, DockQ: 0.254
Processed 6lg2, DockQ: 0.221
Processed 6lgx, DockQ: 0.123
Processed 6lhs, DockQ: 0.094
Processed 6liy, DockQ: 0.136
Processed 6lj9, DockQ: 0.121
Processed 6lk3, DockQ: 0.15
Processed 6lk7, DockQ: 0.097
Processed 6lki, DockQ: 0.125
Processed 6lkx, DockQ: 0.142
Processed 6lnd, DockQ: 0.098
Processed 6lpi, DockQ: 0.221
Processed 6lpw, DockQ: 0.113
Processed 6lqo, DockQ: 0.177
Processed 6lsa, DockQ: 0.13
Processed 6lta, DockQ: 0.161
Processed 6ltp, DockQ: 0.089
Processed 6ltz, DockQ: 0.164
Processed 6lul, DockQ: 0.153
Processed 6lxx, DockQ: 0.099
Processed 6lzh, DockQ: 0.132
Processed 6m10, DockQ: 0.214
Processed 6m31, DockQ: 0.015
Processed 6m3i, DockQ: 0.107
Processed 6m49, DockQ: 0.161
Processed 6m4f, DockQ: 0.092
Processed 6m6q, DockQ: 0.224
Processed 6m6s, DockQ: 0.077
Processed 6m7y, DockQ: 0.139
Processed 6mag, DockQ: 0.125
Processed 6mbi, DockQ: 0.277
Processed 6mfo, DockQ: 0.194
Processed 6mgn, DockQ: 0.172
Processed 6mgv, DockQ: 0.125
Processed 6mhf, DockQ: 0.103
Processed 6mlu, DockQ: 0.124
Processed 6mn6, DockQ: 0.112
Processed 6ms4, DockQ: 0.154
Processed 6mud, DockQ: 0.241
Processed 6mvu, DockQ: 0.15
Processed 6mwl, DockQ: 0.22
Processed 6mx1, DockQ: 0.211
Processed 6mxv, DockQ: 0.175
Processed 6n2m, DockQ: 0.115
Processed 6n2u, DockQ: 0.184
Processed 6n4x, DockQ: 0.139
Processed 6n63, DockQ: 0.16
Processed 6n64, DockQ: 0.169
Processed 6n7m, DockQ: 0.147
Processed 6n7o, DockQ: 0.34
Processed 6nag, DockQ: 0.209
Processed 6nb0, DockQ: 0.185
Processed 6ncs, DockQ: 0.152
Processed 6nd7, DockQ: 0.112
Processed 6nep, DockQ: 0.239
Processed 6nf3, DockQ: 0.179
Processed 6nf4, DockQ: 0.175
Processed 6njd, DockQ: 0.162
Processed 6njy, DockQ: 0.146
Processed 6nk3, DockQ: 0.077
Processed 6nki, DockQ: 0.163
Processed 6nnw, DockQ: 0.098
Processed 6no6, DockQ: 0.111
Processed 6noy, DockQ: 0.13
Processed 6np6, DockQ: 0.141
Processed 6npc, DockQ: 0.077
Processed 6npl, DockQ: 0.167
Processed 6npy, DockQ: 0.154
Processed 6nqy, DockQ: 0.147
Processed 6nqz, DockQ: 0.188
Processed 6ns4, DockQ: 0.161
Processed 6nus, DockQ: 0.216
Processed 6nwx, DockQ: 0.232
Processed 6nx3, DockQ: 0.158
Processed 6nx5, DockQ: 0.163
Processed 6ny5, DockQ: 0.231
Processed 6nyp, DockQ: 0.15
Processed 6o14, DockQ: 0.092
Processed 6o15, DockQ: 0.143
Processed 6o2u, DockQ: 0.17
Processed 6o38, DockQ: 0.126
Processed 6o5k, DockQ: 0.153
Processed 6o6y, DockQ: 0.13
Processed 6o7b, DockQ: 0.081
Processed 6oau, DockQ: 0.19
Processed 6oaw, DockQ: 0.084
Processed 6od1, DockQ: 0.204
Processed 6oei, DockQ: 0.209
Processed 6ohi, DockQ: 0.106
Processed 6oht, DockQ: 0.136
Processed 6ohz, DockQ: 0.185
Processed 6oib, DockQ: 0.173
Processed 6oid, DockQ: 0.122
Processed 6ok3, DockQ: 0.226
Processed 6okh, DockQ: 0.129
Processed 6omi, DockQ: 0.233
Processed 6onb, DockQ: 0.141
Processed 6onw, DockQ: 0.151
Processed 6oqj, DockQ: 0.157
Processed 6oqq, DockQ: 0.088
Processed 6osw, DockQ: 0.215
Processed 6otn, DockQ: 0.216
Processed 6ovm, DockQ: 0.092
Processed 6owd, DockQ: 0.178
Processed 6ox6, DockQ: 0.16
Processed 6p1a, DockQ: 0.055
Processed 6p1e, DockQ: 0.159
Processed 6p3x, DockQ: 0.19
Processed 6p40, DockQ: 0.197
Processed 6p4w, DockQ: 0.199
Processed 6p74, DockQ: 0.217
Processed 6p7j, DockQ: 0.094
Processed 6p7m, DockQ: 0.126
Processed 6p8p, DockQ: 0.12
Processed 6pal, DockQ: 0.192
Processed 6pbd, DockQ: 0.188
Processed 6pce, DockQ: 0.259
Processed 6pfj, DockQ: 0.123
Processed 6pgv, DockQ: 0.159
Processed 6pi4, DockQ: 0.188
Processed 6pkh, DockQ: 0.203
Processed 6pnp, DockQ: 0.16
Failed to retrieve DockQ score for 6ppj
Skipping 6ppj due to errors.
Processed 6psy, DockQ: 0.143
Processed 6ptg, DockQ: 0.157
Processed 6ptl, DockQ: 0.254
Processed 6pwk, DockQ: 0.229
Processed 6q00, DockQ: 0.066
Processed 6q2z, DockQ: 0.128
Processed 6q40, DockQ: 0.176
Processed 6q83, DockQ: 0.119
Processed 6qaj, DockQ: 0.177
Processed 6qeq, DockQ: 0.144
Failed to retrieve DockQ score for 6qj3
Skipping 6qj3 due to errors.
Processed 6qj6, DockQ: 0.132
Processed 6qla, DockQ: 0.107
Processed 6qlc, DockQ: 0.188
Processed 6qm2, DockQ: 0.182
Processed 6qpk, DockQ: 0.13
Processed 6qpq, DockQ: 0.159
Processed 6qsp, DockQ: 0.134
Processed 6qtb, DockQ: 0.183
Processed 6qti, DockQ: 0.148
Processed 6qu1, DockQ: 0.097
Processed 6qup, DockQ: 0.132
Processed 6qvf, DockQ: 0.17
Processed 6qvp, DockQ: 0.157
Processed 6qwo, DockQ: 0.186
Processed 6r22, DockQ: 0.175
Processed 6r23, DockQ: 0.089
Processed 6r2f, DockQ: 0.169
Processed 6r3v, DockQ: 0.132
Processed 6r45, DockQ: 0.152
Processed 6r5j, DockQ: 0.159
Processed 6r60, DockQ: 0.224
Processed 6r6m, DockQ: 0.122
Processed 6r6u, DockQ: 0.173
Processed 6r80, DockQ: 0.092
Processed 6ra0, DockQ: 0.155
Processed 6rfg, DockQ: 0.112
Processed 6rk1, DockQ: 0.325
Processed 6rm9, DockQ: 0.111
Processed 6rmn, DockQ: 0.207
Processed 6rn5, DockQ: 0.167
Processed 6rnq, DockQ: 0.112
Processed 6ro6, DockQ: 0.125
Processed 6rpt, DockQ: 0.121
Processed 6rrk, DockQ: 0.2
Processed 6rs4, DockQ: 0.143
Processed 6rtw, DockQ: 0.12
Processed 6ryd, DockQ: 0.142
Processed 6ryi, DockQ: 0.036
Processed 6rzo, DockQ: 0.113
Processed 6s08, DockQ: 0.082
Processed 6s0e, DockQ: 0.172
Processed 6s33, DockQ: 0.13
Processed 6s3k, DockQ: 0.128
Processed 6s4q, DockQ: 0.219
Processed 6s9j, DockQ: 0.134
Processed 6sa7, DockQ: 0.074
Processed 6sa9, DockQ: 0.13
Processed 6san, DockQ: 0.117
Processed 6saz, DockQ: 0.125
Processed 6sbs, DockQ: 0.189
Processed 6sbw, DockQ: 0.275
Processed 6sek, DockQ: 0.176
Processed 6sgf, DockQ: 0.13
Processed 6shx, DockQ: 0.157
Processed 6si6, DockQ: 0.256
Processed 6sib, DockQ: 0.183
Processed 6sid, DockQ: 0.237
Processed 6siz, DockQ: 0.183
Processed 6sj3, DockQ: 0.162
Processed 6sj8, DockQ: 0.147
Processed 6ski, DockQ: 0.071
Processed 6sm4, DockQ: 0.184
Processed 6sn1, DockQ: 0.066
Processed 6snz, DockQ: 0.227
Processed 6sqj, DockQ: 0.135
Processed 6st4, DockQ: 0.133
Processed 6su3, DockQ: 0.1
Processed 6sul, DockQ: 0.137
Processed 6swk, DockQ: 0.206
Processed 6sws, DockQ: 0.068
Processed 6sxa, DockQ: 0.177
Processed 6t0q, DockQ: 0.053
Processed 6t4d, DockQ: 0.101
Processed 6t4r, DockQ: 0.032
Processed 6t88, DockQ: 0.115
Processed 6tcb, DockQ: 0.147
Processed 6tct, DockQ: 0.175
Processed 6tdd, DockQ: 0.238
Processed 6tdm, DockQ: 0.123
Processed 6tdn, DockQ: 0.193
Processed 6tek, DockQ: 0.179
Processed 6teo, DockQ: 0.185
Processed 6tgk, DockQ: 0.186
Processed 6tgp, DockQ: 0.273
Processed 6tgz, DockQ: 0.157
Processed 6thl, DockQ: 0.206
Processed 6tjd, DockQ: 0.129
Processed 6tjr, DockQ: 0.155
Processed 6tl8, DockQ: 0.177
Processed 6tp5, DockQ: 0.172
Processed 6tp9, DockQ: 0.132
Processed 6tri, DockQ: 0.17
Processed 6ttl, DockQ: 0.077
Processed 6tun, DockQ: 0.225
Processed 6tv2, DockQ: 0.09
Processed 6tvp, DockQ: 0.048
Processed 6ty0, DockQ: 0.193
Processed 6ty2, DockQ: 0.282
Processed 6u08, DockQ: 0.184
Processed 6u0i, DockQ: 0.076
Processed 6u0o, DockQ: 0.061
Processed 6u19, DockQ: 0.207
Processed 6u1q, DockQ: 0.146
Processed 6u2u, DockQ: 0.08
Processed 6u6r, DockQ: 0.162
Processed 6u7l, DockQ: 0.209
Failed to retrieve DockQ score for 6u81
Skipping 6u81 due to errors.
Processed 6u8t, DockQ: 0.135
Processed 6uak, DockQ: 0.154
Processed 6ubl, DockQ: 0.131
Processed 6ulw, DockQ: 0.125
Processed 6um2, DockQ: 0.101
Processed 6ur7, DockQ: 0.126
Processed 6urq, DockQ: 0.192
Processed 6uv8, DockQ: 0.265
Processed 6ux2, DockQ: 0.101
Processed 6uxq, DockQ: 0.183
Processed 6uxu, DockQ: 0.124
Processed 6v45, DockQ: 0.124
Processed 6v4v, DockQ: 0.215
Processed 6v6b, DockQ: 0.12
Processed 6v7u, DockQ: 0.161
Processed 6vax, DockQ: 0.144
Processed 6vbb, DockQ: 0.213
Processed 6vbk, DockQ: 0.202
Processed 6vd8, DockQ: 0.272
Processed 6vd9, DockQ: 0.14
Processed 6ve5, DockQ: 0.113
Processed 6vhh, DockQ: 0.106
Processed 6vhy, DockQ: 0.085
Processed 6vij, DockQ: 0.147
Processed 6vpe, DockQ: 0.188
Processed 6vri, DockQ: 0.186
Processed 6vu8, DockQ: 0.071
Processed 6vvg, DockQ: 0.17
Processed 6vwo, DockQ: 0.111
Processed 6vz0, DockQ: 0.19
Processed 6vzf, DockQ: 0.244
Processed 6w08, DockQ: 0.201
Processed 6w2l, DockQ: 0.141
Processed 6w3h, DockQ: 0.053
Processed 6w3i, DockQ: 0.125
Processed 6w40, DockQ: 0.166
Processed 6w6b, DockQ: 0.081
Processed 6w9r, DockQ: 0.201
Processed 6w9s, DockQ: 0.208
Processed 6w9z, DockQ: 0.188
Processed 6wao, DockQ: 0.139
Processed 6wb3, DockQ: 0.19
Processed 6wbe, DockQ: 0.313
Processed 6wc3, DockQ: 0.134
Processed 6wcu, DockQ: 0.288
Processed 6whp, DockQ: 0.198
Processed 6wig, DockQ: 0.178
Processed 6wk3, DockQ: 0.069
Processed 6wku, DockQ: 0.155
Processed 6wle, DockQ: 0.127
Processed 6wlg, DockQ: 0.192
Processed 6wmk, DockQ: 0.199
Processed 6wmm, DockQ: 0.135
Processed 6wsm, DockQ: 0.133
Processed 6wt5, DockQ: 0.124
Processed 6wud, DockQ: 0.108
Processed 6wxo, DockQ: 0.17
Processed 6x1l, DockQ: 0.182
Processed 6x2d, DockQ: 0.092
Processed 6x61, DockQ: 0.153
Processed 6x6f, DockQ: 0.1
Processed 6xaw, DockQ: 0.175
Processed 6xb6, DockQ: 0.12
Processed 6xdc, DockQ: 0.087
Processed 6xf1, DockQ: 0.226
Processed 6xfi, DockQ: 0.148
Processed 6xfj, DockQ: 0.191
Processed 6xfl, DockQ: 0.175
Processed 6xfu, DockQ: 0.225
Processed 6xgw, DockQ: 0.119
Processed 6xgz, DockQ: 0.188
Processed 6xig, DockQ: 0.085
Processed 6xiv, DockQ: 0.065
Failed to retrieve DockQ score for 6xl1
Skipping 6xl1 due to errors.
Processed 6xla, DockQ: 0.212
Processed 6xm1, DockQ: 0.16
Processed 6xmb, DockQ: 0.178
Processed 6xod, DockQ: 0.168
Processed 6xor, DockQ: 0.2
Processed 6xrb, DockQ: 0.109
Processed 6xtd, DockQ: 0.206
Processed 6xwx, DockQ: 0.138
Processed 6xz3, DockQ: 0.144
Processed 6xzu, DockQ: 0.157
Processed 6y1y, DockQ: 0.231
Processed 6y32, DockQ: 0.091
Processed 6y4l, DockQ: 0.163
Processed 6y7f, DockQ: 0.127
Processed 6y86, DockQ: 0.114
Failed to retrieve DockQ score for 6y93
Skipping 6y93 due to errors.
Processed 6ya2, DockQ: 0.132
Processed 6yex, DockQ: 0.125
Processed 6yf5, DockQ: 0.189
Processed 6yf6, DockQ: 0.148
Processed 6yfi, DockQ: 0.185
Processed 6yge, DockQ: 0.058
Processed 6ygu, DockQ: 0.145
Processed 6yhh, DockQ: 0.177
Failed to retrieve DockQ score for 6yjb
Skipping 6yjb due to errors.
Processed 6yjd, DockQ: 0.229
Processed 6yk8, DockQ: 0.177
Processed 6ymn, DockQ: 0.198
Processed 6ymv, DockQ: 0.219
Processed 6yqq, DockQ: 0.213
Processed 6yrk, DockQ: 0.151
Processed 6ys4, DockQ: 0.176
Processed 6yt3, DockQ: 0.182
Processed 6ytu, DockQ: 0.165
Processed 6yu8, DockQ: 0.099
Processed 6yub, DockQ: 0.156
Processed 6yx5, DockQ: 0.152
Processed 6yxa, DockQ: 0.115
Processed 6yxe, DockQ: 0.154
Processed 6yxj, DockQ: 0.141
Processed 6yxq, DockQ: 0.186
Processed 6z0f, DockQ: 0.139
Processed 6z1v, DockQ: 0.073
Processed 6z26, DockQ: 0.148
Processed 6z3n, DockQ: 0.152
Processed 6z4e, DockQ: 0.144
Processed 6z7o, DockQ: 0.287
Processed 6za0, DockQ: 0.198
Processed 6za2, DockQ: 0.183
Processed 6zb8, DockQ: 0.064
Processed 6zbk, DockQ: 0.143
Processed 6zdb, DockQ: 0.177
